"Borough","Neighborhood","measurement"
"Bronx"," Central Bronx"," 10453"
"Bronx"," Bronx Park and Fordham"," 10458"
"Bronx"," High Bridge and Morrisania"," 10451"
"Bronx"," Hunts Point and Mott Haven"," 10454"
"Bronx"," Kingsbridge and Riverdale"," 10463"
"Bronx"," Northeast Bronx"," 10466"
"Bronx"," Southeast Bronx"," 10461"
"Brooklyn"," Central Brooklyn"," 11212"
"Brooklyn"," Southwest Brooklyn"," 11209"
"Brooklyn"," Borough Park"," 11204"
"Brooklyn"," Canarsie and Flatlands"," 11234"
"Brooklyn"," Southern Brooklyn"," 11223"
"Brooklyn"," Northwest Brooklyn"," 11201"
"Brooklyn"," Flatbush"," 11203"
"Brooklyn"," East New York and New Lots"," 11207"
"Brooklyn"," Greenpoint"," 11211"
"Brooklyn"," Sunset Park"," 11220"
"Brooklyn"," Bushwick and Williamsburg"," 11206"
"Manhattan"," Central Harlem"," 10026"
"Manhattan"," Chelsea and Clinton"," 10001"
"Manhattan"," East Harlem"," 10029"
"Manhattan"," Gramercy Park and Murray Hill"," 10010"
"Manhattan"," Greenwich Village and Soho"," 10012"
"Manhattan"," Lower Manhattan"," 10004"
"Manhattan"," Lower East Side"," 10002"
"Manhattan"," Upper East Side"," 10021"
"Manhattan"," Upper West Side"," 10023"
"Manhattan"," Inwood and Washington Heights"," 10031"
"Queens"," Northeast Queens"," 11361"
"Queens"," North Queens"," 11354"
"Queens"," Central Queens"," 11365"
"Queens"," Jamaica"," 11412"
"Queens"," Northwest Queens"," 11101"
"Queens"," West Central Queens"," 11374"
"Queens"," Rockaways"," 11691"
"Queens"," Southeast Queens"," 11004"
"Queens"," Southwest Queens"," 11414"
"Queens"," West Queens"," 11368"
"Stanten Island"," Port Richmond"," 10302"
"Stanten Island"," South Shore"," 10306"
"Stanten Island"," Stapleton and St. George"," 10301"
"Stanten Island"," Mid-Island"," 10314"
"Bronx"," Central Bronx"," 10457"
"Bronx"," Bronx Park and Fordham"," 10467"
"Bronx"," High Bridge and Morrisania"," 10452"
"Bronx"," Hunts Point and Mott Haven"," 10455"
"Bronx"," Kingsbridge and Riverdale"," 10471"
"Bronx"," Northeast Bronx"," 10469"
"Bronx"," Southeast Bronx"," 10462"
"Brooklyn"," Central Brooklyn"," 11213"
"Brooklyn"," Southwest Brooklyn"," 11214"
"Brooklyn"," Borough Park"," 11218"
"Brooklyn"," Canarsie and Flatlands"," 11236"
"Brooklyn"," Southern Brooklyn"," 11224"
"Brooklyn"," Northwest Brooklyn"," 11205"
"Brooklyn"," Flatbush"," 11210"
"Brooklyn"," East New York and New Lots"," 11208"
"Brooklyn"," Greenpoint"," 11222"
"Brooklyn"," Sunset Park"," 11232"
"Brooklyn"," Bushwick and Williamsburg"," 11221"
"Manhattan"," Central Harlem"," 10027"
"Manhattan"," Chelsea and Clinton"," 10011"
"Manhattan"," East Harlem"," 10035"
"Manhattan"," Gramercy Park and Murray Hill"," 10016"
"Manhattan"," Greenwich Village and Soho"," 10013"
"Manhattan"," Lower Manhattan"," 10005"
"Manhattan"," Lower East Side"," 10003"
"Manhattan"," Upper East Side"," 10028"
"Manhattan"," Upper West Side"," 10024"
"Manhattan"," Inwood and Washington Heights"," 10032"
"Queens"," Northeast Queens"," 11362"
"Queens"," North Queens"," 11355"
"Queens"," Central Queens"," 11366"
"Queens"," Jamaica"," 11423"
"Queens"," Northwest Queens"," 11102"
"Queens"," West Central Queens"," 11375"
"Queens"," Rockaways"," 11692"
"Queens"," Southeast Queens"," 11005"
"Queens"," Southwest Queens"," 11415"
"Queens"," West Queens"," 11369"
"Stanten Island"," Port Richmond"," 10303"
"Stanten Island"," South Shore"," 10307"
"Stanten Island"," Stapleton and St. George"," 10304"
"Bronx"," Central Bronx"," 10460"
"Bronx"," Bronx Park and Fordham"," 10468"
"Bronx"," High Bridge and Morrisania"," 10456"
"Bronx"," Hunts Point and Mott Haven"," 10459"
"Bronx"," Northeast Bronx"," 10470"
"Bronx"," Southeast Bronx","10464"
"Brooklyn"," Central Brooklyn"," 11216"
"Brooklyn"," Southwest Brooklyn"," 11228"
"Brooklyn"," Borough Park"," 11219"
"Brooklyn"," Canarsie and Flatlands"," 11239"
"Brooklyn"," Southern Brooklyn"," 11229"
"Brooklyn"," Northwest Brooklyn"," 11215"
"Brooklyn"," Flatbush"," 11225"
"Brooklyn"," Bushwick and Williamsburg"," 11237"
"Manhattan"," Central Harlem"," 10030"
"Manhattan"," Chelsea and Clinton"," 10018"
"Manhattan"," Gramercy Park and Murray Hill"," 10017"
"Manhattan"," Greenwich Village and Soho"," 10014"
"Manhattan"," Lower Manhattan"," 10006"
"Manhattan"," Lower East Side"," 10009"
"Manhattan"," Upper East Side"," 10044"
"Manhattan"," Upper West Side"," 10025"
"Manhattan"," Inwood and Washington Heights"," 10033"
"Queens"," Northeast Queens"," 11363"
"Queens"," North Queens"," 11356"
"Queens"," Central Queens"," 11367"
"Queens"," Jamaica"," 11432"
"Queens"," Northwest Queens"," 11103"
"Queens"," West Central Queens"," 11379"
"Queens"," Rockaways"," 11693"
"Queens"," Southeast Queens"," 11411"
"Queens"," Southwest Queens"," 11416"
"Queens"," West Queens"," 11370"
"Stanten Island"," Port Richmond"," 10310"
"Stanten Island"," South Shore"," 10308"
"Stanten Island"," Stapleton and St. George"," 10305"
"Bronx"," Hunts Point and Mott Haven"," 10474"
"Bronx"," Northeast Bronx"," 10475"
"Bronx"," Southeast Bronx"," 10465"
"Brooklyn"," Central Brooklyn"," 11233"
"Brooklyn"," Borough Park"," 11230"
"Brooklyn"," Southern Brooklyn"," 11235"
"Brooklyn"," Northwest Brooklyn"," 11217"
"Brooklyn"," Flatbush"," 11226"
"Manhattan"," Central Harlem"," 10037"
"Manhattan"," Chelsea and Clinton"," 10019"
"Manhattan"," Gramercy Park and Murray Hill"," 10022"
"Manhattan"," Lower Manhattan"," 10007"
"Manhattan"," Upper East Side"," 10065"
"Manhattan"," Inwood and Washington Heights"," 10034"
"Queens"," Northeast Queens"," 11364"
"Queens"," North Queens"," 11357"
"Queens"," Jamaica"," 11433"
"Queens"," Northwest Queens"," 11104"
"Queens"," West Central Queens"," 11385"
"Queens"," Rockaways"," 11694"
"Queens"," Southeast Queens"," 11413"
"Queens"," Southwest Queens"," 11417"
"Queens"," West Queens"," 11372"
"Stanten Island"," South Shore"," 10309"
"Bronx"," Southeast Bronx"," 10472"
"Brooklyn"," Central Brooklyn"," 11238"
"Brooklyn"," Northwest Brooklyn"," 11231"
"Manhattan"," Central Harlem"," 10039"
"Manhattan"," Chelsea and Clinton"," 10020"
"Manhattan"," Lower Manhattan"," 10038"
"Manhattan"," Upper East Side"," 10075"
"Manhattan"," Inwood and Washington Heights"," 10040"
"Queens"," North Queens"," 11358"
"Queens"," Jamaica"," 11434"
"Queens"," Northwest Queens"," 11105"
"Queens"," Rockaways"," 11695"
"Queens"," Southeast Queens"," 11422"
"Queens"," Southwest Queens"," 11418"
"Queens"," West Queens"," 11373"
"Stanten Island"," South Shore"," 10312"
"Bronx"," Southeast Bronx"," 10473"
"Manhattan"," Chelsea and Clinton"," 10036"
"Manhattan"," Lower Manhattan"," 10280"
"Manhattan"," Upper East Side"," 10128"
"Queens"," North Queens"," 11359"
"Queens"," Jamaica"," 11435"
"Queens"," Northwest Queens"," 11106"
"Queens"," Rockaways"," 11697"
"Queens"," Southeast Queens"," 11426"
"Queens"," Southwest Queens"," 11419"
"Queens"," West Queens"," 11377"
"Queens"," North Queens"," 11360"
"Queens"," Jamaica"," 11436"
"Queens"," Southeast Queens"," 11427"
"Queens"," Southwest Queens"," 11420"
"Queens"," West Queens"," 11378"
"Queens"," Southeast Queens"," 11428"
"Queens"," Southwest Queens"," 11421"
"Queens"," Southeast Queens"," 11429"
